Sex,mass,RT,%N
F,676.3681,12.952,0.00
F,441.2004,2.682,3.17
F,190.1359,5.194,0.00
F,518.326,13.273,2.70
F,780.5563,18.228,1.79
F,441.2004,2.463,3.17
F,796.5141,17.985,0.00
F,554.201,3.334,0.00
F,602.3624,5.46,0.00
F,502.404,13.862,0.00
F,540.2202,4.166,0.00
F,886.5595,20.464,0.00
F,608.2661,15.758,9.21
F,528.4911,18.6,0.00
F,542.324,14.024,2.58
F,870.5693,20.928,6.43
F,784.5885,19.054,1.78
F,575.3712,13.601,12.17
F,514.1865,5.34,0.00
F,245.147,2.984,28.55
F,469.1697,15.041,20.89
F,602.3616,16.77,0.00
F,432.1781,3.463,0.00
F,584.337,13.623,0.00
F,574.4965,17.78,0.00
F,606.2501,15.287,9.24
F,224.1283,3.225,6.25
F,472.2471,4.878,0.00
F,398.1263,3.184,0.00
F,577.3862,14.022,12.12
F,534.3719,13.88,0.00
F,561.3488,7.756,12.47
F,689.344,7.432,2.03
F,430.3809,16.493,0.00
F,912.715,17.538,0.00
F,495.3714,14.546,2.83
F,442.17,3.09,0.00
F,667.1918,4.385,0.00
F,336.1812,5.46,8.33
F,564.29,8.914,0.00
F,654.1824,2.531,0.00
F,545.2968,3.523,12.84
F,610.3019,4.78,4.59
F,400.2471,6.262,0.00
F,162.0528,3.02,0.00
F,516.1324,0.825,0.00
F,626.2796,5.514,8.94
F,372.1876,4.596,7.52
F,274.1942,10.552,0.00
F,582.2239,3.972,0.00
F,386.1234,2.468,14.50
F,540.3408,5.449,0.00
F,495.2666,3.352,2.83
F,152.1203,5.096,0.00
F,194.0814,0.997,0.00
F,616.3768,9.363,9.09
F,240.137,5.336,23.32
F,362.16,4.147,15.46
F,450.1984,6.226,18.66
F,290.189,8.441,0.00
F,353.1989,2.511,3.96
F,740.4366,14.434,0.00
F,389.2602,2.471,3.60
F,413.3133,13.669,3.39
F,376.2112,6.783,0.00
F,146.0366,3.748,0.00
F,464.0963,2.613,0.00
F,442.3804,16.643,0.00
F,158.131,4.652,0.00
F,548.4504,16.878,0.00
F,445.1843,2.353,9.43
F,256.184,10.234,0.00
F,614.2389,7.231,9.12
F,191.1053,4.825,21.98
M,328.096,10.139,0.00
M,315.0882,9.213,0.00
M,370.3611,15.332,0.00
M,252.0644,3.103,0.00
M,316.2626,11.481,0.00
M,432.1073,6.02,0.00
M,488.2174,15.606,5.74
M,484.1329,5.224,5.78
M,357.2884,11.478,3.92
M,357.2884,11.478,3.92
M,298.0858,11.134,0.00
M,301.1093,10.368,0.00
M,520.1236,5.821,0.00
M,464.2135,7.019,18.10
M,264.0683,6.246,21.21
M,509.31,16.434,2.75
M,222.162,9.015,0.00
M,394.3786,18.686,0.00
M,107.0733,5.252,13.08
M,253.1676,5.857,5.53
M,416.2389,4.982,0.00
M,268.0389,3.101,0.00
M,412.1309,5.029,20.38
M,348.3016,10.566,0.00
M,389.2018,1.58,25.18
M,606.1621,3.069,0.00
M,400.2076,8.799,20.99
M,222.162,10.03,0.00
M,342.278,12.323,0.00
M,545.2779,3.808,2.57
M,388.2109,7.713,14.43
M,691.4076,15.593,2.02
M,296.2326,9.967,0.00
M,622.1212,6.785,0.00
M,682.4608,8.452,0.00
M,298.2526,11.479,0.00
M,252.0653,3.559,0.00
M,554.2163,5.473,0.00
M,472.2236,2.572,0.00
M,905.3209,5.166,7.73
M,498.2195,2.976,11.24
M,648.4942,16.413,0.00
M,667.1933,5.216,0.00
M,274.1796,5.513,0.00
M,390.1949,4.279,14.35
M,159.0379,2.917,8.80
M,307.0865,2.749,13.68
M,142.135,6.731,0.00
M,337.163,9.038,12.46
M,332.2066,9.127,16.86
M,383.3029,12.296,3.65
M,272.1045,7.176,0.00
M,376.3334,12.287,0.00
M,429.2373,7.715,16.31
M,218.0801,3.437,0.00
M,434.0954,5.092,6.45
M,194.0947,5.317,0.00
M,152.121,4.137,0.00
M,406.22,4.269,0.00
M,460.242,4.46,18.25
M,253.0817,1.335,27.66
M,460.1394,7.258,12.17
M,311.1636,6.154,4.50
M,349.179,6.757,12.03
M,192.1512,5.383,0.00
M,172.1107,4.27,0.00
M,326.1352,1.823,0.00
M,462.1535,7.316,0.00
M,301.159,10.144,13.95
M,228.1723,9.906,0.00
M,434.2198,4.291,6.45
M,354.0966,3.531,0.00
M,504.3189,15.088,22.21
M,198.1968,7.42,0.00
M,476.1328,6.854,0.00
M,132.095,3.979,0.00
M,488.2193,15.604,0.00
M,442.2736,13.475,0.00
